baseline_type,window_length,correlation_kind,component_i,component_j,metric,empirical_value,baseline_median,baseline_p05,baseline_p95,difference_from_median,percentile_rank,inside_envelope,above_envelope,below_envelope,n_simulations,quantile_method,outside_envelope
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_06,correlation,0.04237123385288841,-0.018176023993565278,-0.07675760744298835,0.044280581496002336,0.060547257846453685,0.94,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_07,correlation,0.04828595401875003,-0.014804824993358253,-0.05960721884268036,0.025773169489702052,0.06309077901210829,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_08,correlation,0.03704760265677518,-0.012781370256736257,-0.055709203376317185,0.032476674820718046,0.04982897291351144,0.97,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_09,correlation,0.05169790809727296,-0.008141970289864207,-0.05735243308262905,0.026989871670456654,0.05983987838713717,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_01,correlation,-0.15900544542562084,-0.127698814692354,-0.1819118425010436,-0.07240112432172494,-0.03130663073326684,0.16,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_02,correlation,0.035683190256923,-0.05961660999793001,-0.11317778443298628,-0.005592043705629674,0.09529980025485302,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_03,correlation,-0.06079659385270213,-0.04395301697129262,-0.1027665962136427,0.013786118072482634,-0.016843576881409507,0.39,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_04,correlation,0.044838933849114485,-0.034206753380785083,-0.09245176481513855,0.02920181660835354,0.07904568722989957,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_05,correlation,0.0423712338528884,-0.018176023993565278,-0.07675760744298835,0.044280581496002336,0.06054725784645368,0.94,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_06,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.4,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_07,correlation,0.1255848684123499,-0.019996476994331804,-0.07013675544673309,0.03808707325390667,0.1455813454066817,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_08,correlation,0.10165434006418722,-0.011410406505311797,-0.050359631045693874,0.03588691496823558,0.11306474656949903,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_09,correlation,0.035105988552843755,-0.004278363052756284,-0.05177161316560124,0.039543897448458154,0.03938435160560004,0.92,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_01,correlation,-0.1497786382104312,-0.0893335509094633,-0.12743077308677067,-0.03996004471737356,-0.0604450873009679,0.0,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_02,correlation,0.059720176250335114,-0.04435257925011756,-0.08764929934449235,-0.006513908925666265,0.10407275550045267,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_03,correlation,-0.0345933434745129,-0.027643223274935097,-0.07079672438892755,0.019550073860581108,-0.006950120199577803,0.44,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_04,correlation,0.03818274974487947,-0.017452714061263495,-0.06747894377153994,0.021135411687087304,0.05563546380614297,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_05,correlation,0.04828595401875003,-0.014804824993358253,-0.05960721884268036,0.02577316948970205,0.06309077901210829,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_06,correlation,0.1255848684123499,-0.019996476994331804,-0.07013675544673309,0.03808707325390667,0.1455813454066817,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_07,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.44,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_08,correlation,0.14455150238788128,-0.004634631513641085,-0.04324074635723812,0.0387307980435301,0.14918613390152236,1.0,False,True,False,100,linear,True
