baseline_type,window_length,correlation_kind,component_i,component_j,metric,n_simulations,mean,median,std,p05,p95,min,max,quantile_method
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_02,correlation,100,-0.04550132944537885,-0.04435257925011756,0.02776978091272068,-0.08764929934449235,-0.006513908925666265,-0.13236425137366561,0.018044361822763654,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_03,correlation,100,-0.027089360393636457,-0.027643223274935097,0.029976938045318577,-0.07079672438892755,0.019550073860581108,-0.1063304694092664,0.057002013938916636,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_04,correlation,100,-0.019998337767229542,-0.017452714061263495,0.028411840825573555,-0.06747894377153994,0.021135411687087304,-0.09677023620928997,0.062318126713802616,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_05,correlation,100,-0.015170631924013089,-0.014804824993358253,0.028067518238854585,-0.05960721884268036,0.02577316948970205,-0.08944378703400736,0.05741084663470842,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_06,correlation,100,-0.01750393905739353,-0.019996476994331804,0.032446680222571106,-0.07013675544673309,0.03808707325390667,-0.11404050349114603,0.06892663791964863,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_07,correlation,100,1.0,1.0,1.4802973661668753e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_08,correlation,100,-0.0042367541028334585,-0.004634631513641085,0.02453384793218052,-0.04324074635723812,0.0387307980435301,-0.05170460559997351,0.06335972253739086,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_09,correlation,100,-0.0004041331953543061,0.0018024982255862288,0.021801181315372935,-0.038242599868024425,0.03054725342919943,-0.056117961760440704,0.0540244210137161,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_01,correlation,100,-0.05970246406421424,-0.05994458185528688,0.023972005098926635,-0.10493276025585416,-0.02291618843754323,-0.11280361413126029,0.012613698556568376,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_02,correlation,100,-0.028603173552139892,-0.029719090641935432,0.025478633446523385,-0.06820004227730408,0.01420855111237524,-0.0921625593991406,0.04392869444235049,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_03,correlation,100,-0.021179132157254105,-0.020000441252797076,0.02747277920060706,-0.06464070467471819,0.02043397919716469,-0.10361554932611211,0.041108491012813546,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_04,correlation,100,-0.019411818746940833,-0.02020365458058459,0.029695844135812006,-0.06571081967327903,0.02872635801224378,-0.08433324200160273,0.0514892108301338,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_05,correlation,100,-0.011943523655677152,-0.012781370256736257,0.027770723319365954,-0.0557092033763172,0.032476674820718046,-0.08162821729509083,0.055607443508230776,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_06,correlation,100,-0.010112867364744442,-0.011410406505311797,0.02646854423546538,-0.050359631045693874,0.03588691496823558,-0.05958253897059395,0.07294319667524798,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_07,correlation,100,-0.0042367541028334585,-0.004634631513641085,0.02453384793218052,-0.043240746357238125,0.0387307980435301,-0.05170460559997351,0.06335972253739086,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_08,correlation,100,1.0,1.0,1.4114081595988996e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_09,correlation,100,-0.0012088154005144526,-0.0009401909355059716,0.022101664971259486,-0.031892707082874346,0.02927422307664399,-0.0779810493357619,0.06175566373296091,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_01,correlation,100,-0.038087658192895134,-0.04137831944318644,0.02809280413595728,-0.08149935420924416,0.008177138977614656,-0.10155148166314229,0.03381256779110562,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_02,correlation,100,-0.025715233735473065,-0.024895142155176502,0.029100291230489007,-0.07587622317701205,0.0210531760100783,-0.10947411837390297,0.03926152757890061,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_03,correlation,100,-0.016158596602186586,-0.017478706421380486,0.028428708521492648,-0.062129981349207344,0.027388323600622502,-0.08325251475875084,0.05566046510164364,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_04,correlation,100,-0.008683796971338887,-0.008291313838710596,0.028692703262843004,-0.051957711251008155,0.03178413162779256,-0.06955815839929451,0.07858855885740341,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_05,correlation,100,-0.01032149850031582,-0.008141970289864207,0.025212795608199414,-0.05735243308262905,0.026989871670456654,-0.07263011187361708,0.046494925748255526,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_06,correlation,100,-0.005229607616231964,-0.004278363052756284,0.02829730252914976,-0.05177161316560124,0.039543897448458154,-0.08115707695583843,0.05720718103825517,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_07,correlation,100,-0.00040413319535430607,0.0018024982255862288,0.021801181315372932,-0.038242599868024425,0.03054725342919943,-0.05611796176044071,0.0540244210137161,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_08,correlation,100,-0.0012088154005144521,-0.0009401909355059716,0.022101664971259486,-0.031892707082874346,0.02927422307664399,-0.0779810493357619,0.06175566373296091,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_09,correlation,100,1.0,1.0,1.4289418524932748e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_01,D_01,correlation,100,1.0,1.0,1.0226623691696763e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_01,D_02,correlation,100,-0.0052831330085438485,-0.0024411650778942934,0.04600136100507184,-0.0716874880121521,0.07178302646576244,-0.15773867484619217,0.12975527447812465,linear
gaussian,2048,rms_volatility_correlation,D_01,D_03,correlation,100,0.0035850919285352455,0.0033464233124922763,0.04588520454142215,-0.06840944173689431,0.0794057975817657,-0.09644003615315888,0.09803054965291558,linear
gaussian,2048,rms_volatility_correlation,D_01,D_04,correlation,100,-0.00480934336757145,-0.0028689819850344664,0.039680404039847336,-0.06589449076573621,0.05643346122776517,-0.09712862192481542,0.11164783964786928,linear
