window_length,window_id,window_end_timestamp_utc,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
8192,2022,2024-01-22 19:05:00+00:00,D_07,7,detail,320,0.2222222222222222,3.4222110963697257e-06,2.043894268240948e-05,0.0068966980171818425,0.006876092024448049
8192,2022,2024-01-22 19:05:00+00:00,D_08,8,detail,640,0.4444444444444444,1.9586701809221243e-06,1.546271260386079e-05,0.003947259935954404,0.003935466290740994
8192,2022,2024-01-22 19:05:00+00:00,D_09,9,detail,1280,0.8888888888888888,6.718418331042159e-07,9.0560445293519e-06,0.0013539463544913568,0.0013499010260351755
8192,2022,2024-01-22 19:05:00+00:00,A_09,9,approximation,2560,1.7777777777777777,1.4870221822049651e-06,1.347298268670275e-05,,0.002987805567600271
8192,2023,2024-01-23 19:05:00+00:00,D_01,1,detail,5,0.003472222222222222,0.000250591862253721,0.00017489947665807543,0.5036615623678893,0.5029210494443963
8192,2023,2024-01-23 19:05:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012960169852494773,0.00012577964795415497,0.2604848911594618,0.26010191091500673
8192,2023,2024-01-23 19:05:00+00:00,D_03,3,detail,20,0.013888888888888888,5.6322390905113137e-05,8.291737971338891e-05,0.11320169435846497,0.11303525855335878
8192,2023,2024-01-23 19:05:00+00:00,D_04,4,detail,40,0.027777777777777776,3.368318251044931e-05,6.412266849597794e-05,0.06769942238411117,0.0675998867019504
8192,2023,2024-01-23 19:05:00+00:00,D_05,5,detail,80,0.05555555555555555,1.3546711884359655e-05,4.0665112234829094e-05,0.027227372873409917,0.02718734158456045
8192,2023,2024-01-23 19:05:00+00:00,D_06,6,detail,160,0.1111111111111111,7.164012726324122e-06,2.957217057059496e-05,0.014398862796711872,0.01437769273971082
8192,2023,2024-01-23 19:05:00+00:00,D_07,7,detail,320,0.2222222222222222,3.007123574597006e-06,1.9159345356174713e-05,0.0060439814134161905,0.006035095195605675
8192,2023,2024-01-23 19:05:00+00:00,D_08,8,detail,640,0.4444444444444444,2.506952378168271e-06,1.7493554819579097e-05,0.005038693356656987,0.005031285172616536
8192,2023,2024-01-23 19:05:00+00:00,D_09,9,detail,1280,0.8888888888888888,1.1162409817607151e-06,1.1673040969209236e-05,0.0022435192898779786,0.0022402207355462765
8192,2023,2024-01-23 19:05:00+00:00,A_09,9,approximation,2560,1.7777777777777777,7.32589996976759e-07,9.456610908001187e-06,,0.0014702589572481136
8192,2024,2024-01-24 19:05:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0002529245194702427,0.0001757116249160677,0.5067896061347534,0.5055058553440993
8192,2024,2024-01-24 19:05:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012859358207066942,0.00012528949975501143,0.2576653736282736,0.2570126804334737
8192,2024,2024-01-24 19:05:00+00:00,D_03,3,detail,20,0.013888888888888888,5.567709724630798e-05,8.24410132152056e-05,0.11156124460879938,0.11127864837115115
8192,2024,2024-01-24 19:05:00+00:00,D_04,4,detail,40,0.027777777777777776,3.410680533951377e-05,6.452463394836979e-05,0.06834044591932303,0.06816733246075841
8192,2024,2024-01-24 19:05:00+00:00,D_05,5,detail,80,0.05555555555555555,1.4236757985505219e-05,4.1687953850932676e-05,0.028526459147662296,0.028454198659203032
8192,2024,2024-01-24 19:05:00+00:00,D_06,6,detail,160,0.1111111111111111,6.6545776762299785e-06,2.850133990697485e-05,0.013333902172052933,0.01330012601080442
8192,2024,2024-01-24 19:05:00+00:00,D_07,7,detail,320,0.2222222222222222,4.393742078711969e-06,2.315913358899183e-05,0.008803823457654566,0.008781522457026824
8192,2024,2024-01-24 19:05:00+00:00,D_08,8,detail,640,0.4444444444444444,1.5718046384773721e-06,1.3851739363988999e-05,0.0031494544511665866,0.003141476555422728
8192,2024,2024-01-24 19:05:00+00:00,D_09,9,detail,1280,0.8888888888888888,9.131473493355294e-07,1.055784932133125e-05,0.0018296904803142017,0.0018250556839957248
8192,2024,2024-01-24 19:05:00+00:00,A_09,9,approximation,2560,1.7777777777777777,1.2674118633475064e-06,1.2438382620945434e-05,,0.002533104024064848
8192,2025,2024-01-25 19:05:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00023788391981015633,0.0001704070551061508,0.5012004990742955,0.500416768264178
8192,2025,2024-01-25 19:05:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012571133902892833,0.00012387744927974068,0.2648627360389864,0.2644485682816335
8192,2025,2024-01-25 19:05:00+00:00,D_03,3,detail,20,0.013888888888888888,5.6008243950250066e-05,8.268581402866674e-05,0.1180044445313606,0.11781992013627153
8192,2025,2024-01-25 19:05:00+00:00,D_04,4,detail,40,0.027777777777777776,3.0103925622163836e-05,6.0620092446104834e-05,0.06342632388925268,0.06332714369231292
8192,2025,2024-01-25 19:05:00+00:00,D_05,5,detail,80,0.05555555555555555,1.2610437572806491e-05,3.9234679242657634e-05,0.026569082979967008,0.02652753671461726
