window_length,window_id,window_end_timestamp_utc,scale_group,component_start,component_end,group_energy,group_detail_energy_share
8192,515,2018-02-06 20:10:00+00:00,fine,D_01,D_03,0.000729640546870814,0.8788534459340535
8192,515,2018-02-06 20:10:00+00:00,mid,D_04,D_06,9.049819133051935e-05,0.10900524599780523
8192,515,2018-02-06 20:10:00+00:00,coarse,D_07,D_09,1.0079940745013042e-05,0.012141308068141489
8192,516,2018-02-07 20:10:00+00:00,fine,D_01,D_03,0.0007433148564176172,0.8772667738978862
8192,516,2018-02-07 20:10:00+00:00,mid,D_04,D_06,9.360591844137917e-05,0.11047453361093766
8192,516,2018-02-07 20:10:00+00:00,coarse,D_07,D_09,1.0386884035809826e-05,0.012258692491176176
8192,517,2018-02-08 20:10:00+00:00,fine,D_01,D_03,0.0007731066736034252,0.876786058627199
8192,517,2018-02-08 20:10:00+00:00,mid,D_04,D_06,9.74222263470988e-05,0.11048727527266966
8192,517,2018-02-08 20:10:00+00:00,coarse,D_07,D_09,1.1221746055291087e-05,0.012726666100131307
8192,518,2018-02-09 20:10:00+00:00,fine,D_01,D_03,0.000790448147299275,0.8781560561145123
8192,518,2018-02-09 20:10:00+00:00,mid,D_04,D_06,9.969565851052603e-05,0.11075786133280123
8192,518,2018-02-09 20:10:00+00:00,coarse,D_07,D_09,9.97883389126816e-06,0.011086082552686524
8192,519,2018-02-12 20:15:00+00:00,fine,D_01,D_03,0.0007983705890031989,0.8780379283616063
8192,519,2018-02-12 20:15:00+00:00,mid,D_04,D_06,9.950825837417523e-05,0.10943793050645832
8192,519,2018-02-12 20:15:00+00:00,coarse,D_07,D_09,1.1387783613083897e-05,0.012524141131935371
8192,520,2018-02-13 20:15:00+00:00,fine,D_01,D_03,0.0008078033066444423,0.878907223330327
8192,520,2018-02-13 20:15:00+00:00,mid,D_04,D_06,0.00010058432968429816,0.10943789556964535
8192,520,2018-02-13 20:15:00+00:00,coarse,D_07,D_09,1.0711996944883116e-05,0.011654881100027667
8192,521,2018-02-14 20:15:00+00:00,fine,D_01,D_03,0.0008532375392078928,0.8790743003815957
8192,521,2018-02-14 20:15:00+00:00,mid,D_04,D_06,0.00010423728761135346,0.10739368167707791
8192,521,2018-02-14 20:15:00+00:00,coarse,D_07,D_09,1.313430011975358e-05,0.013532017941326276
8192,522,2018-02-15 20:15:00+00:00,fine,D_01,D_03,0.0008642325416991382,0.879698323734564
8192,522,2018-02-15 20:15:00+00:00,mid,D_04,D_06,0.0001073510995581756,0.1092721898052124
8192,522,2018-02-15 20:15:00+00:00,coarse,D_07,D_09,1.0835579493534739e-05,0.011029486460223432
8192,523,2018-02-16 20:15:00+00:00,fine,D_01,D_03,0.0008777137130505376,0.8796563560328998
8192,523,2018-02-16 20:15:00+00:00,mid,D_04,D_06,0.00010624620860650108,0.10648136324574518
8192,523,2018-02-16 20:15:00+00:00,coarse,D_07,D_09,1.3831667104823844e-05,0.013862280721355102
8192,524,2018-02-19 20:20:00+00:00,fine,D_01,D_03,0.000884013917322701,0.8798703971280459
8192,524,2018-02-19 20:20:00+00:00,mid,D_04,D_06,0.00010912867096692554,0.10861716674385088
8192,524,2018-02-19 20:20:00+00:00,coarse,D_07,D_09,1.1566650943992257e-05,0.011512436128103263
8192,525,2018-02-20 20:20:00+00:00,fine,D_01,D_03,0.0008794855430323241,0.8820337002303016
8192,525,2018-02-20 20:20:00+00:00,mid,D_04,D_06,0.00010493011722695242,0.10523413408728033
8192,525,2018-02-20 20:20:00+00:00,coarse,D_07,D_09,1.2695383006630358e-05,0.012732165682418169
8192,526,2018-02-21 20:20:00+00:00,fine,D_01,D_03,0.000858070466032006,0.8831211063809494
8192,526,2018-02-21 20:20:00+00:00,mid,D_04,D_06,0.00010390744756762217,0.10694093747507706
8192,526,2018-02-21 20:20:00+00:00,coarse,D_07,D_09,9.656055775646356e-06,0.009937956143973487
8192,527,2018-02-22 20:20:00+00:00,fine,D_01,D_03,0.0008433721458255348,0.8812760612930851
8192,527,2018-02-22 20:20:00+00:00,mid,D_04,D_06,0.00010182160817649177,0.10639780582327789
8192,527,2018-02-22 20:20:00+00:00,coarse,D_07,D_09,1.1795982662402458e-05,0.012326132883636922
8192,528,2018-02-23 20:20:00+00:00,fine,D_01,D_03,0.0008303006115839357,0.8827829767328387
8192,528,2018-02-23 20:20:00+00:00,mid,D_04,D_06,9.963177341418806e-05,0.10592938543543079
8192,528,2018-02-23 20:20:00+00:00,coarse,D_07,D_09,1.0616576035154061e-05,0.01128763783173052
8192,529,2018-02-26 20:25:00+00:00,fine,D_01,D_03,0.0008043251586514172,0.8799929540170041
8192,529,2018-02-26 20:25:00+00:00,mid,D_04,D_06,9.811462726283029e-05,0.10734487134787472
8192,529,2018-02-26 20:25:00+00:00,coarse,D_07,D_09,1.1573394509325919e-05,0.0126621746351213
8192,530,2018-02-27 20:25:00+00:00,fine,D_01,D_03,0.0008018750742636798,0.8817659206932729
8192,530,2018-02-27 20:25:00+00:00,mid,D_04,D_06,9.799627417204047e-05,0.10775964697389462
8192,530,2018-02-27 20:25:00+00:00,coarse,D_07,D_09,9.52541486084672e-06,0.010474432332832427
8192,531,2018-02-28 20:25:00+00:00,fine,D_01,D_03,0.000790967214904932,0.8808809941037263
8192,531,2018-02-28 20:25:00+00:00,mid,D_04,D_06,9.545495297552691e-05,0.10630586487622358
8192,531,2018-02-28 20:25:00+00:00,coarse,D_07,D_09,1.1505270898851658e-05,0.012813141020050042
8192,532,2018-03-01 20:25:00+00:00,fine,D_01,D_03,0.0007964666686453743,0.8794451699142882
8192,532,2018-03-01 20:25:00+00:00,mid,D_04,D_06,9.864342374279583e-05,0.1089204181035681
8192,532,2018-03-01 20:25:00+00:00,coarse,D_07,D_09,1.0536667515007062e-05,0.01163441198214361
8192,533,2018-03-02 20:25:00+00:00,fine,D_01,D_03,0.0008037915031133003,0.8805570349541019
8192,533,2018-03-02 20:25:00+00:00,mid,D_04,D_06,9.80470262660661e-05,0.10741093728972204
8192,533,2018-03-02 20:25:00+00:00,coarse,D_07,D_09,1.0983095122443408e-05,0.012032027756175963
8192,534,2018-03-05 20:30:00+00:00,fine,D_01,D_03,0.0008095907536095814,0.8794094707175081
8192,534,2018-03-05 20:30:00+00:00,mid,D_04,D_06,0.00010083174374489877,0.10952742481664554
8192,534,2018-03-05 20:30:00+00:00,coarse,D_07,D_09,1.0184774419654962e-05,0.011063104465846244
8192,535,2018-03-06 20:30:00+00:00,fine,D_01,D_03,0.0007968565759146122,0.878750114627347
8192,535,2018-03-06 20:30:00+00:00,mid,D_04,D_06,9.835811271187111e-05,0.10846644858377621
8192,535,2018-03-06 20:30:00+00:00,coarse,D_07,D_09,1.1592107356168106e-05,0.012783436788876779
8192,536,2018-03-07 20:30:00+00:00,fine,D_01,D_03,0.0007332936460178449,0.8923316506027873
8192,536,2018-03-07 20:30:00+00:00,mid,D_04,D_06,8.049028876483994e-05,0.0979471629422475
8192,536,2018-03-07 20:30:00+00:00,coarse,D_07,D_09,7.98860407379398e-06,0.00972118645496522
8192,537,2018-03-08 20:30:00+00:00,fine,D_01,D_03,0.0007299401205821126,0.8915459242293036
8192,537,2018-03-08 20:30:00+00:00,mid,D_04,D_06,7.741405663245631e-05,0.09455321706893201
8192,537,2018-03-08 20:30:00+00:00,coarse,D_07,D_09,1.1381123732613468e-05,0.013900858701764563
8192,538,2018-03-09 20:30:00+00:00,fine,D_01,D_03,0.0007263329586664185,0.8932571264873603
8192,538,2018-03-09 20:30:00+00:00,mid,D_04,D_06,7.89761713729586e-05,0.09712629319631612
8192,538,2018-03-09 20:30:00+00:00,coarse,D_07,D_09,7.819516941192164e-06,0.009616580316323576
8192,539,2018-03-12 20:35:00+00:00,fine,D_01,D_03,0.0007045865088620025,0.8922480335342675
8192,539,2018-03-12 20:35:00+00:00,mid,D_04,D_06,7.472522855018151e-05,0.09462775314415868
8192,539,2018-03-12 20:35:00+00:00,coarse,D_07,D_09,1.0363871141502305e-05,0.01312421332157395
8192,540,2018-03-13 20:35:00+00:00,fine,D_01,D_03,0.0006957549646529102,0.8916538611494741
8192,540,2018-03-13 20:35:00+00:00,mid,D_04,D_06,7.728463098361601e-05,0.0990451281342003
8192,540,2018-03-13 20:35:00+00:00,coarse,D_07,D_09,7.257552133325715e-06,0.00930101071632563
8192,541,2018-03-14 20:35:00+00:00,fine,D_01,D_03,0.0006875084789237813,0.8900272551185487
8192,541,2018-03-14 20:35:00+00:00,mid,D_04,D_06,7.453198591512226e-05,0.09648680834658434
8192,541,2018-03-14 20:35:00+00:00,coarse,D_07,D_09,1.041731661657255e-05,0.013485936534866787
8192,542,2018-03-15 20:35:00+00:00,fine,D_01,D_03,0.0006684507117355547,0.8917103955522878
8192,542,2018-03-15 20:35:00+00:00,mid,D_04,D_06,7.471926335582646e-05,0.09967517830807278
8192,542,2018-03-15 20:35:00+00:00,coarse,D_07,D_09,6.457611476727142e-06,0.008614426139639444
8192,543,2018-03-16 20:35:00+00:00,fine,D_01,D_03,0.0006483009413838492,0.8904200594661589
8192,543,2018-03-16 20:35:00+00:00,mid,D_04,D_06,6.937623409346196e-05,0.09528597992650932
8192,543,2018-03-16 20:35:00+00:00,coarse,D_07,D_09,1.0407209517935474e-05,0.014293960607331825
8192,544,2018-03-19 20:40:00+00:00,fine,D_01,D_03,0.0006335445501873065,0.8941671120969438
8192,544,2018-03-19 20:40:00+00:00,mid,D_04,D_06,6.831481793294147e-05,0.09641762910985048
8192,544,2018-03-19 20:40:00+00:00,coarse,D_07,D_09,6.670996748079794e-06,0.009415258793205738
8192,545,2018-03-20 20:40:00+00:00,fine,D_01,D_03,0.0006216766718841839,0.8947913479739427
8192,545,2018-03-20 20:40:00+00:00,mid,D_04,D_06,6.331104116754107e-05,0.09112481524558731
8192,545,2018-03-20 20:40:00+00:00,coarse,D_07,D_09,9.785066425673168e-06,0.014083836780470024
8192,546,2018-03-21 20:40:00+00:00,fine,D_01,D_03,0.0006044481106367951,0.8946184406922009
8192,546,2018-03-21 20:40:00+00:00,mid,D_04,D_06,6.417944440333052e-05,0.09498931912635249
8192,546,2018-03-21 20:40:00+00:00,coarse,D_07,D_09,7.021507334567099e-06,0.010392240181446744
8192,547,2018-03-22 20:40:00+00:00,fine,D_01,D_03,0.0006010145983033648,0.8948912201329582
8192,547,2018-03-22 20:40:00+00:00,mid,D_04,D_06,6.139308666008155e-05,0.09141231241980172
