event_id,scale_group,component_start,component_end,group_energy,group_rms_volatility,group_detail_energy_share
49,coarse,D_07,D_09,4.522847194088065e-06,3.132923009649695e-05,0.012826885646906337
50,fine,D_01,D_03,0.0002489156916434571,0.0002324180764248214,0.8848609079245353
50,mid,D_04,D_06,2.886106319396263e-05,7.9140707358412e-05,0.10259709387087347
50,coarse,D_07,D_09,3.528125301646938e-06,2.767042088942064e-05,0.012541998204591277
51,fine,D_01,D_03,0.00023636825309556028,0.00022648442289513132,0.8756962242198162
51,mid,D_04,D_06,3.0120273496602698e-05,8.084873335986583e-05,0.11158947713159965
51,coarse,D_07,D_09,3.4318482571722682e-06,2.729026816221324e-05,0.012714298648584293
52,fine,D_01,D_03,0.00023668874763090684,0.00022663791734752568,0.9019959368568392
52,mid,D_04,D_06,2.3328683703070234e-05,7.115229000574835e-05,0.08890316131631767
52,coarse,D_07,D_09,2.388127227283979e-06,2.276525371601063e-05,0.009100901826843154
53,fine,D_01,D_03,0.00038531073964069476,0.0002891673944968231,0.8911433734427399
53,mid,D_04,D_06,4.257652708869971e-05,9.612334637798378e-05,0.0984706266289932
53,coarse,D_07,D_09,4.4906772956280465e-06,3.1217612715729576e-05,0.010385999928266837
54,fine,D_01,D_03,0.0004642472780960619,0.00031740842336917883,0.8781736039205487
54,mid,D_04,D_06,5.735640819593533e-05,0.00011156673874994493,0.10849580831132048
54,coarse,D_07,D_09,7.047227403723416e-06,3.910685649302902e-05,0.013330587768130935
55,fine,D_01,D_03,0.0004824004607042711,0.000323554632139961,0.8753104961375351
55,mid,D_04,D_06,5.983494731441941e-05,0.00011395180827070686,0.10856987438130782
55,coarse,D_07,D_09,8.883838046505597e-06,4.3908043030078775e-05,0.01611962948115708
56,fine,D_01,D_03,0.0005112490322264063,0.00033308878797421766,0.8803325879656047
56,mid,D_04,D_06,6.252450871270404e-05,0.00011648470623481488,0.10766252666852437
56,coarse,D_07,D_09,6.97178101684712e-06,3.8896957605289974e-05,0.012004885365871007
57,fine,D_01,D_03,0.0005054655561229869,0.00033119940524347914,0.8855505288203463
57,mid,D_04,D_06,5.870874589842386e-05,0.00011287432506644975,0.10285480453999281
57,coarse,D_07,D_09,6.618148180526639e-06,3.789762623039879e-05,0.011594666639660777
58,fine,D_01,D_03,0.0003876754974293254,0.0002900533870239621,0.9004000075453629
58,mid,D_04,D_06,3.829203311607812e-05,9.115866947242172e-05,0.08893558436183992
58,coarse,D_07,D_09,4.591658904396659e-06,3.15666557508776e-05,0.010664408092797216
