event_id,component,component_type,k,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
104,D_03,detail,3,20,0.013888888888888888,7.023249378090713e-05,0.00012345617279731037,0.12513254138243157,0.12489088014457034
104,D_04,detail,4,40,0.027777777777777776,4.103927583718684e-05,9.437209781822024e-05,0.07311927293969823,0.07297806191804945
104,D_05,detail,5,80,0.05555555555555555,1.5729641664283984e-05,5.8425599769236104e-05,0.028025347393002865,0.027971223660937152
104,D_06,detail,6,160,0.1111111111111111,7.692719129354134e-06,4.085862080872393e-05,0.013706041790289053,0.013679572104717047
104,D_07,detail,7,320,0.2222222222222222,4.861084095480072e-06,3.247957456273184e-05,0.008660945582235647,0.008644219199095587
104,D_08,detail,8,640,0.4444444444444444,1.558388407504001e-06,1.838999534289788e-05,0.002776565253402815,0.0027712030335619417
104,D_09,detail,9,1280,0.8888888888888888,5.579165679763187e-07,1.1003437830609261e-05,0.0009940344457656132,0.0009921147245485218
104,A_09,approximation,9,2560,1.7777777777777777,1.0860356810012066e-06,1.5352030048373557e-05,,0.0019312421468582607
105,D_01,detail,1,5,0.003472222222222222,0.0004140043145040718,0.00029974103207153213,0.5128549481231574,0.512243091603399
105,D_02,detail,2,10,0.006944444444444444,0.00018771346362904731,0.0002018326751022801,0.23253327387859,0.23225585235774077
105,D_03,detail,3,20,0.013888888888888888,0.00010399857027495244,0.0001502302704991635,0.12883001334692296,0.12867631397462415
105,D_04,detail,4,40,0.027777777777777776,4.8761665440695524e-05,0.00010286864753647864,0.06040434972264208,0.06033228491107145
105,D_05,detail,5,80,0.05555555555555555,2.80235318586521e-05,7.79839446876584e-05,0.034714630920725145,0.03467321497390123
105,D_06,detail,6,160,0.1111111111111111,1.3206598673835444e-05,5.353517850165322e-05,0.01635990070747589,0.01634038268986272
105,D_07,detail,7,320,0.2222222222222222,7.99063464923758e-06,4.164227059036707e-05,0.009898535775924958,0.009886726425790528
105,D_08,detail,8,640,0.4444444444444444,2.8683845029683707e-06,2.4949534581185855e-05,0.0035532605191066044,0.0035490213368134984
105,D_09,detail,9,1280,0.8888888888888888,6.870435657610772e-07,1.2210569030225432e-05,0.0008510870054550622,0.0008500716245270337
105,A_09,approximation,9,2560,1.7777777777777777,9.64237015222527e-07,1.4465573769610914e-05,,0.001193040102269666
106,D_01,detail,1,5,0.003472222222222222,0.000432095123547124,0.0003062199260839932,0.48473798173712707,0.48375231942240604
106,D_02,detail,2,10,0.006944444444444444,0.00023240977875458224,0.00022457994100840385,0.26072464360311637,0.2601944882090667
106,D_03,detail,3,20,0.013888888888888888,0.00010859521390161711,0.0001535143956881916,0.12182554707132809,0.12157782798340319
106,D_04,detail,4,40,0.027777777777777776,6.0636560417872034e-05,0.00011471257901873046,0.0680240121090723,0.06788569262976978
106,D_05,detail,5,80,0.05555555555555555,2.9371488724610776e-05,7.983746608318638e-05,0.03294986540950834,0.03288286541810495
106,D_06,detail,6,160,0.1111111111111111,1.8771072503174207e-05,6.382463037518607e-05,0.021057983079130056,0.0210151639456453
106,D_07,detail,7,320,0.2222222222222222,6.094625781434964e-06,3.636782152056519e-05,0.0068371440447734,0.006823241451044099
106,D_08,detail,8,640,0.4444444444444444,2.596721754431112e-06,2.3738674905973036e-05,0.0029130846283169235,0.002907161185455204
106,D_09,detail,9,1280,0.8888888888888888,8.287681352759514e-07,1.3410972970796227e-05,0.0009297383176274009,0.000927847795207529
106,A_09,approximation,9,2560,1.7777777777777777,1.8162574417846237e-06,1.985328916489824e-05,,0.002033391959897219
107,D_01,detail,1,5,0.003472222222222222,0.0005538129878715204,0.0003466772421362177,0.4851870508165895,0.4844542365052688
107,D_02,detail,2,10,0.006944444444444444,0.00028152559050911754,0.000247173953356992,0.24664024495612918,0.24626772573710365
107,D_03,detail,3,20,0.013888888888888888,0.00017859470013298752,0.00019686932318369103,0.15646407315586436,0.15622775375734954
107,D_04,detail,4,40,0.027777777777777776,6.994676228129855e-05,0.00012320478439513315,0.061279283889429915,0.06118672920119972
107,D_05,detail,5,80,0.05555555555555555,2.685007603670993e-05,7.633373708714114e-05,0.023522939136044047,0.023487410680751997
107,D_06,detail,6,160,0.1111111111111111,1.8794384662552323e-05,6.386425060152328e-05,0.01646547167733051,0.01644060264327965
107,D_07,detail,7,320,0.2222222222222222,4.280367444744744e-06,3.047784744789981e-05,0.003749964161925429,0.0037443003104269735
107,D_08,detail,8,640,0.4444444444444444,5.340095761918796e-06,3.40422523980578e-05,0.004678375860705934,0.004671309759542079
107,D_09,detail,9,1280,0.8888888888888888,2.297262455523493e-06,2.232796137742072e-05,0.0020125963459811415,0.002009556571109235
